pass,task,thr,n,n_gt,n_emit,emit_per_gt,time_p,time_r,time_f1,content_acc,joint_f1,content_acc_lb,joint_f1_lb,n_unjudged,xrt_mean,reliable
p2,cumulative_counting,0.2667,15,71,170,2.3944,0.1529,0.3662,0.2158,0.2308,0.0498,0.2308,0.0498,0,2.277,True
p2,cumulative_counting,0.3833,15,71,221,3.1127,0.1403,0.4366,0.2123,0.2258,0.0479,0.2258,0.0479,0,2.161,True
p2,cumulative_counting,0.5,15,71,207,2.9155,0.1643,0.4789,0.2446,0.1471,0.036,0.1471,0.036,0,2.063,True
p2,cumulative_counting,0.6167,15,71,176,2.4789,0.1705,0.4225,0.2429,0.1667,0.0405,0.1667,0.0405,0,1.892,True
p2,cumulative_counting,0.7333,15,71,102,1.4366,0.1667,0.2394,0.1965,0.1176,0.0231,0.1176,0.0231,0,1.735,True
p2,dedup_counting,0.3833,15,74,269,3.6351,0.1338,0.4865,0.2099,0.0833,0.0175,0.0833,0.0175,0,2.557,True
p2,dedup_counting,0.4167,15,74,259,3.5,0.1506,0.527,0.2342,0.1026,0.024,0.1026,0.024,0,2.523,True
p2,dedup_counting,0.45,15,74,271,3.6622,0.1144,0.4189,0.1797,0.2258,0.0406,0.2258,0.0406,0,2.552,True
p2,dedup_counting,0.4833,15,74,277,3.7432,0.1227,0.4595,0.1937,0.1471,0.0285,0.1471,0.0285,0,2.547,True
p2,dedup_counting,0.5167,15,74,338,4.5676,0.1095,0.5,0.1796,0.2432,0.0437,0.2432,0.0437,0,3.366,True
p2,event_narration,0.2333,15,64,475,7.4219,0.1158,0.8594,0.2041,,,0.0,0.0,55,3.13,True
p2,event_narration,0.3167,15,64,467,7.2969,0.1135,0.8281,0.1996,,,0.0,0.0,53,2.895,True
p2,event_narration,0.4,15,64,465,7.2656,0.1054,0.7656,0.1853,,,0.0,0.0,49,2.912,True
p2,event_narration,0.4833,15,64,453,7.0781,0.106,0.75,0.1857,,,0.0,0.0,48,2.911,True
p2,event_narration,0.5667,15,64,427,6.6719,0.1194,0.7969,0.2077,,,0.0,0.0,51,2.82,True
p2,explicit_target_grounding,0.1833,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.727,True
p2,explicit_target_grounding,0.3167,15,16,17,1.0625,0.0588,0.0625,0.0606,0.0,0.0,0.0,0.0,0,1.581,True
p2,explicit_target_grounding,0.45,15,16,17,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.512,True
p2,explicit_target_grounding,0.5833,15,16,16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.528,True
p2,explicit_target_grounding,0.7167,15,16,15,0.9375,0.0667,0.0625,0.0645,1.0,0.0645,1.0,0.0645,0,1.378,True
p2,instant_event_alert,0.0667,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.615,True
p2,instant_event_alert,0.0833,15,16,14,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.917,True
p2,instant_event_alert,0.1,15,16,15,0.9375,0.0667,0.0625,0.0645,1.0,0.0645,1.0,0.0645,0,2.209,True
p2,instant_event_alert,0.1167,15,16,14,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.999,True
p2,instant_event_alert,0.1333,15,16,15,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2.0,True
p2,realtime_state_monitor,0.2,15,73,369,5.0548,0.1626,0.8219,0.2715,0.0667,0.0181,0.0667,0.0181,0,2.032,True
p2,realtime_state_monitor,0.25,15,73,365,5.0,0.1534,0.7671,0.2557,0.0179,0.0046,0.0179,0.0046,0,2.076,True
p2,realtime_state_monitor,0.3,15,73,363,4.9726,0.1708,0.8493,0.2844,0.0645,0.0183,0.0645,0.0183,0,2.01,True
p2,realtime_state_monitor,0.35,15,73,356,4.8767,0.1657,0.8082,0.2751,0.0508,0.014,0.0508,0.014,0,1.948,True
p2,realtime_state_monitor,0.4,15,73,358,4.9041,0.162,0.7945,0.2691,0.0517,0.0139,0.0517,0.0139,0,1.968,True
p2,semantic_condition_alert,0.1667,15,47,247,5.2553,0.0891,0.4681,0.1497,1.0,0.1497,1.0,0.1497,0,2.431,True
p2,semantic_condition_alert,0.1833,15,47,243,5.1702,0.1235,0.6383,0.2069,1.0,0.2069,1.0,0.2069,0,2.417,True
p2,semantic_condition_alert,0.2,15,47,234,4.9787,0.1239,0.617,0.2064,1.0,0.2064,1.0,0.2064,0,2.262,True
p2,semantic_condition_alert,0.2167,15,47,240,5.1064,0.1292,0.6596,0.216,1.0,0.216,1.0,0.216,0,2.271,True
p2,semantic_condition_alert,0.2333,15,47,234,4.9787,0.1154,0.5745,0.1922,1.0,0.1922,1.0,0.1922,0,2.314,True
p2,sequential_step_instruction,0.0417,15,93,365,3.9247,0.2164,0.8495,0.345,,,0.0,0.0,79,2.832,True
p2,sequential_step_instruction,0.0633,15,93,355,3.8172,0.2056,0.7849,0.3259,,,0.0,0.0,73,2.69,True
