id,task,audio_dependency,duration,n_gt,n_emits,tp_time,tp_content,fp,fn,time_f1,joint_f1,verdict
instant_event_alert::Q8FK2CtxfpY::0,instant_event_alert,required,527.233333,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::3MI7OZ-BlgE::1,instant_event_alert,required,133.84,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::1Gf2W3eYP28::2,instant_event_alert,required,136.92,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::UQA8DECaULg::3,instant_event_alert,required,69.56957,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::BY5mLsNhXS4::4,instant_event_alert,required,100.233467,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::AD5MFhTOQp0::5,instant_event_alert,required,85.633333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::9DgHZ1bPTag::6,instant_event_alert,required,144.2,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::551-lWJPbow::7,instant_event_alert,required,60.827433,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::UGGUPyzw67w::8,instant_event_alert,required,155.522033,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::2vYRDokNyFI::9,instant_event_alert,required,221.554667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::S-lGb_lnSuw::10,instant_event_alert,required,264.597667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::X-PWidOvHT8::11,instant_event_alert,required,259.666667,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::Vkqr32FLsmE::12,instant_event_alert,required,138.071267,2,1,0,0,1,2,0.0,0.0,WRONG_TIME
instant_event_alert::L_ZmMIIdg0A::13,instant_event_alert,helpful,242.784208,1,5,1,1,4,0,0.333,0.333,GOOD
instant_event_alert::2gsCCV8pUb4::14,instant_event_alert,required,214.5,3,1,1,1,0,2,0.5,0.5,GOOD
instant_event_alert::NOqb0dFIxds::15,instant_event_alert,none,342.800789,3,2,0,0,2,3,0.0,0.0,WRONG_TIME
instant_event_alert::HF8nrtwFVA8::16,instant_event_alert,required,143.877067,3,2,2,2,0,1,0.8,0.8,GOOD
instant_event_alert::1MNI153DglI::17,instant_event_alert,required,196.829967,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::1PglWltNB1M::18,instant_event_alert,required,104.266667,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::2a0O3-5Fpyw::19,instant_event_alert,required,449.541667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::8gdA-kuiqos::20,instant_event_alert,required,238.32,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::9dzOr4b5qFs::21,instant_event_alert,required,59.976583,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::KaO8SYGKI6M::22,instant_event_alert,required,134.259125,2,3,2,2,1,0,0.8,0.8,GOOD
instant_event_alert::Pn00ZcBOo3c::23,instant_event_alert,required,262.133333,5,4,2,2,2,3,0.444,0.444,GOOD
instant_event_alert::1EDlJD9mplY::24,instant_event_alert,required,58.091367,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::McfK9Zi3HDY::25,instant_event_alert,required,55.72,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::7shRl0Lxycc::26,instant_event_alert,none,100.133467,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::TmqbLiW4cl8::27,instant_event_alert,required,62.56,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::RIZpUl0EsBY::28,instant_event_alert,required,344.510833,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::SpJdncoK-QY::29,instant_event_alert,required,302.5,1,5,1,1,4,0,0.333,0.333,GOOD
instant_event_alert::W2u6SC3CxgE::30,instant_event_alert,required,314.466667,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::GkdFZK76bWE::31,instant_event_alert,required,171.96,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::900pWYk1nLE::32,instant_event_alert,required,64.230833,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::IenLTYaTvuY::33,instant_event_alert,required,60.26001,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::PIF2Sh1KzDk::34,instant_event_alert,required,149.32,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::BBcu4EclgOs::35,instant_event_alert,none,163.633333,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::6HlX1qPWZiY::36,instant_event_alert,required,394.666667,1,4,1,1,3,0,0.4,0.4,GOOD
instant_event_alert::02zNKcnf4OI::37,instant_event_alert,required,64.330933,1,0,0,0,0,1,0.0,0.0,SILENT
instant_event_alert::Uaa-Mz84vC8::38,instant_event_alert,required,400.1,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::5_LRMz5WxUk::39,instant_event_alert,required,344.9446,1,2,1,1,1,0,0.667,0.667,GOOD
instant_event_alert::62S-ry938nk::40,instant_event_alert,required,264.631033,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::TIKm2-2Sr-4::41,instant_event_alert,required,87.378958,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::VauQiGVVBBc::42,instant_event_alert,required,105.3052,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::DYQMViyqMnU::43,instant_event_alert,required,205.633333,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::VGCmpZTvSm8::44,instant_event_alert,required,40.3403,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::5XLzU7sSBO4::45,instant_event_alert,required,220.533333,1,1,0,0,1,1,0.0,0.0,WRONG_TIME
instant_event_alert::8lhPuyetcdE::46,instant_event_alert,required,67.366667,1,1,1,1,0,0,1.0,1.0,GOOD
instant_event_alert::UldXRipkEno::47,instant_event_alert,required,98.531767,1,2,0,0,2,1,0.0,0.0,WRONG_TIME
instant_event_alert::DwwdRDPwzoE::48,instant_event_alert,required,93.0,2,2,0,0,2,2,0.0,0.0,WRONG_TIME
instant_event_alert::WkuUUdW0B4o::49,instant_event_alert,helpful,163.4,1,0,0,0,0,1,0.0,0.0,SILENT
